Confidence NN ucf B-NP
in IN lc B-PP
the DT lc B-NP
pound NN lc I-NP
is VBZ lc B-VP
widely RB lc I-VP
expected VBN lc I-VP
to TO lc I-VP
take VB lc I-VP
another DT lc B-NP
sharp JJ lc I-NP
dive NN lc I-NP
if IN lc B-SBAR
trade NN lc B-NP
figures NNS lc I-NP
for IN lc B-PP
September NNP ucf B-NP
, , punc O
due JJ lc B-ADJP
for IN lc B-PP
release NN lc B-NP
tomorrow NN lc B-NP
, , punc O
fail VB lc B-VP
to TO lc I-VP
show VB lc I-VP
a DT lc B-NP
substantial JJ lc I-NP
improvement NN lc I-NP
from IN lc B-PP
July NNP ucf B-NP
and CC lc I-NP
August NNP ucf I-NP
's POS lc B-NP
near-record JJ lc I-NP
deficits NNS lc I-NP
. . punc O

Chancellor NNP ucf O
of IN lc B-PP
the DT lc B-NP
Exchequer NNP ucf I-NP
Nigel NNP ucf B-NP
Lawson NNP ucf I-NP
's POS lc B-NP
restated VBN lc I-NP
commitment NN lc I-NP
to TO lc B-PP
a DT lc B-NP
firm NN lc I-NP
monetary JJ lc I-NP
policy NN lc I-NP
has VBZ lc B-VP
helped VBN lc I-VP
to TO lc I-VP
prevent VB lc I-VP
a DT lc B-NP
freefall NN lc I-NP
in IN lc B-PP
sterling NN lc B-NP
over IN lc B-PP
the DT lc B-NP
past JJ lc I-NP
week NN lc I-NP
. . punc O

But CC ucf O
analysts NNS lc B-NP
reckon VBP lc B-VP
underlying VBG lc B-NP
support NN lc I-NP
for IN lc B-PP
sterling NN lc B-NP
has VBZ lc B-VP
been VBN lc I-VP
eroded VBN lc I-VP
by IN lc B-PP
the DT lc B-NP
chancellor NN lc I-NP
's POS lc B-NP
failure NN lc I-NP
to TO lc B-VP
announce VB lc I-VP
any DT lc B-NP
new JJ lc I-NP
policy NN lc I-NP
measures NNS lc I-NP
in IN lc B-PP
his PRP$ lc B-NP
Mansion NNP ucf I-NP
House NNP ucf I-NP
speech NN lc I-NP
last JJ lc B-NP
Thursday NNP ucf I-NP
. . punc O

This DT ucf B-NP
has VBZ lc B-VP
increased VBN lc I-VP
the DT lc B-NP
risk NN lc I-NP
of IN lc B-PP
the DT lc B-NP
government NN lc I-NP
being VBG lc B-VP
forced VBN lc I-VP
to TO lc I-VP
increase VB lc I-VP
base NN lc B-NP
rates NNS lc I-NP
to TO lc B-PP
16 CD num B-NP
% NN num I-NP
from IN lc B-PP
their PRP$ lc B-NP
current JJ lc I-NP
15 CD num I-NP
% NN num I-NP
level NN lc I-NP
to TO lc B-VP
defend VB lc I-VP
the DT lc B-NP
pound NN lc I-NP
, , punc O
economists NNS lc B-NP
and CC lc O
foreign JJ lc B-NP
exchange NN lc I-NP
market NN lc I-NP
analysts NNS lc I-NP
say VBP lc B-VP
. . punc O

`` `` unknown O
The DT ucf B-NP
risks NNS lc I-NP
for IN lc B-PP
sterling NN lc B-NP
of IN lc B-PP
a DT lc B-NP
bad JJ lc I-NP
trade NN lc I-NP
figure NN lc I-NP
are VBP lc B-VP
very RB lc B-ADVP
heavily RB lc I-ADVP
on IN lc B-PP
the DT lc B-NP
down JJ lc I-NP
side NN lc I-NP
, , punc O
'' '' unknown O
said VBD lc B-VP
Chris NNP ucf B-NP
Dillow NNP ucf I-NP
, , punc O
senior JJ lc B-NP
U.K. NNP unknown I-NP
economist NN lc I-NP
at IN lc B-PP
Nomura NNP ucf B-NP
Research NNP ucf I-NP
Institute NNP ucf I-NP
. . punc O

`` `` unknown O
If IN ucf B-SBAR
there EX lc B-NP
is VBZ lc B-VP
another DT lc B-NP
bad JJ lc I-NP
trade NN lc I-NP
number NN lc I-NP
, , punc O
there EX lc B-NP
could MD lc B-VP
be VB lc I-VP
an DT lc B-NP
awful JJ lc I-NP
lot NN lc I-NP
of IN lc B-PP
pressure NN lc B-NP
, , punc O
'' '' unknown O
noted VBD lc B-VP
Simon NNP ucf B-NP
Briscoe NNP ucf I-NP
, , punc O
U.K. NNP unknown B-NP
economist NN lc I-NP
for IN lc B-PP
Midland NNP ucf B-NP
Montagu NNP ucf I-NP
, , punc O
a DT lc B-NP
unit NN lc I-NP
of IN lc B-PP
Midland NNP ucf B-NP
Bank NNP ucf I-NP
PLC NNP uc I-NP
. . punc O

Forecasts NNS ucf B-NP
for IN lc B-PP
the DT lc B-NP
trade NN lc I-NP
figures NNS lc I-NP
range VBP lc B-VP
widely RB lc B-ADVP
, , punc O
but CC lc O
few JJ lc B-NP
economists NNS lc I-NP
expect VBP lc B-VP
the DT lc B-NP
data NNS lc I-NP
to TO lc B-VP
show VB lc I-VP
a DT lc B-NP
very RB lc I-NP
marked VBN lc I-NP
improvement NN lc I-NP
from IN lc B-PP
the DT lc O
# # num O
2 CD num O
billion CD lc O
-LRB- ( uc O
$ $ num B-ADJP
3.2 CD num O
billion CD lc O
-RRB- ) uc O
deficit NN lc B-NP
in IN lc B-PP
the DT lc B-NP
current JJ lc I-NP
account NN lc I-NP
reported VBD lc B-VP
for IN lc B-PP
August NNP ucf B-NP
. . punc O

The DT ucf B-NP
August NNP ucf I-NP
deficit NN lc I-NP
and CC lc O
the DT lc B-NP
# # num I-NP
2.2 CD num I-NP
billion CD lc I-NP
gap NN lc I-NP
registered VBN lc B-VP
in IN lc B-PP
July NNP ucf B-NP
are VBP lc B-VP
topped VBN lc I-VP
only RB lc B-ADVP
by IN lc B-PP
the DT lc B-NP
# # num I-NP
2.3 CD num I-NP
billion CD lc I-NP
deficit NN lc I-NP
of IN lc B-PP
October NNP ucf B-NP
1988 CD num I-NP
. . punc O

Sanjay NNP ucf B-NP
Joshi NNP ucf I-NP
, , punc O
European JJ ucf B-NP
economist NN lc I-NP
at IN lc B-PP
Baring NNP ucf B-NP
Brothers NNPS ucf I-NP
& CC sign I-NP
Co. NNP unknown I-NP
, , punc O
said VBD lc B-VP
there EX lc B-NP
is VBZ lc B-VP
no DT lc B-NP
sign NN lc I-NP
that IN lc B-SBAR
Britain NNP ucf B-NP
's POS lc B-NP
manufacturing NN lc I-NP
industry NN lc I-NP
is VBZ lc B-VP
transforming VBG lc I-VP
itself PRP lc B-NP
to TO lc B-VP
boost VB lc I-VP
exports NNS lc B-NP
. . punc O

At IN ucf B-PP
the DT lc B-NP
same JJ lc I-NP
time NN lc I-NP
, , punc O
he PRP lc B-NP
remains VBZ lc B-VP
fairly RB lc B-ADJP
pessimistic JJ lc I-ADJP
about IN lc B-PP
the DT lc B-NP
outlook NN lc I-NP
for IN lc B-PP
imports NNS lc B-NP
, , punc O
given VBN lc B-PP
continued VBD lc B-NP
high JJ lc I-NP
consumer NN lc I-NP
and CC lc I-NP
capital NN lc I-NP
goods NNS lc I-NP
inflows NNS lc I-NP
. . punc O

He PRP ucf B-NP
reckons VBZ lc B-VP
the DT lc B-NP
current JJ lc I-NP
account NN lc I-NP
deficit NN lc I-NP
will MD lc B-VP
narrow VB lc I-VP
to TO lc B-PP
only RB lc B-NP
# # num I-NP
1.8 CD num I-NP
billion CD lc I-NP
in IN lc B-PP
September NNP ucf B-NP
. . punc O

However RB ucf B-ADVP
, , punc O
Mr. NNP unknown B-NP
Dillow NNP ucf I-NP
said VBD lc B-VP
he PRP lc B-NP
believes VBZ lc B-VP
that IN lc B-SBAR
a DT lc B-NP
reduction NN lc I-NP
in IN lc B-PP
raw JJ lc B-NP
material NN lc I-NP
stockbuilding VBG lc I-NP
by IN lc B-PP
industry NN lc B-NP
could MD lc B-VP
lead VB lc I-VP
to TO lc B-PP
a DT lc B-NP
sharp JJ lc I-NP
drop NN lc I-NP
in IN lc B-PP
imports NNS lc B-NP
. . punc O

Combined VBN ucf B-PP
with IN lc B-PP
at IN lc B-ADVP
least JJS lc I-ADVP
some DT lc B-NP
rebound NN lc I-NP
in IN lc B-PP
exports NNS lc B-NP
after IN lc B-PP
August NNP ucf B-NP
's POS lc B-NP
unexpected JJ lc I-NP
decline NN lc I-NP
, , punc O
the DT lc B-NP
deficit NN lc I-NP
could MD lc B-VP
narrow VB lc I-VP
to TO lc B-PP
as RB lc B-NP
little JJ lc I-NP
as IN lc I-NP
# # num I-NP
1.3 CD num I-NP
billion CD lc I-NP
. . punc O

Mr. NNP unknown B-NP
Briscoe NNP ucf I-NP
, , punc O
who WP lc B-NP
also RB lc B-ADVP
forecasts VBZ lc B-VP
a DT lc B-NP
# # num I-NP
1.3 CD num I-NP
billion CD lc I-NP
current JJ lc I-NP
account NN lc I-NP
gap NN lc I-NP
, , punc O
warns VBZ lc B-VP
that IN lc B-SBAR
even RB lc B-SBAR
if IN lc I-SBAR
the DT lc B-NP
trade NN lc I-NP
figures NNS lc I-NP
are VBP lc B-VP
bullish JJ lc B-ADJP
for IN lc B-PP
sterling NN lc B-NP
, , punc O
the DT lc B-NP
currency NN lc I-NP
wo MD lc B-VP
n't RB lc I-VP
advance VB lc I-VP
much JJ lc B-NP
because IN lc B-SBAR
investors NNS lc B-NP
will MD lc B-VP
want VB lc I-VP
to TO lc I-VP
see VB lc I-VP
further JJ lc B-NP
evidence NN lc I-NP
of IN lc B-PP
the DT lc B-NP
turnaround NN lc I-NP
before IN lc B-PP
adjusting VBG lc B-VP
positions NNS lc B-NP
. . punc O

Nevertheless RB ucf B-ADVP
, , punc O
he PRP lc B-NP
